timestamp,action,price,vwap,dev_bps,position,equity,mode
2026-08-27 19:56:35,HOLD,769.42,768.51,11.79,0,,PAPER
2026-08-27 19:56:49,HOLD,769.52,768.51,13.1,0,,PAPER
2026-08-27 19:57:03,HOLD,769.58,768.51,13.88,0,,PAPER
2026-08-27 19:57:17,HOLD,769.75,768.52,16.04,0,,PAPER
2026-08-27 19:57:30,HOLD,769.81,768.52,16.76,0,,PAPER
2026-08-27 19:57:44,HOLD,769.83,768.52,17.05,0,,PAPER
2026-08-27 19:57:58,HOLD,769.75,768.52,15.98,0,,PAPER
2026-08-27 19:58:12,HOLD,769.72,768.53,15.37,0,,PAPER
2026-08-27 19:58:26,HOLD,769.77,768.53,16.02,0,,PAPER
2026-08-27 19:58:39,HOLD,769.65,768.53,14.53,0,,PAPER
2026-08-27 19:58:53,HOLD,769.58,768.53,13.62,0,,PAPER
2026-08-27 19:59:07,HOLD,769.52,768.55,12.56,0,,PAPER
2026-08-27 19:59:21,HOLD,769.63,768.55,14.05,0,,PAPER
2026-08-27 19:59:34,HOLD,769.65,768.55,14.31,0,,PAPER
2026-08-27 19:59:48,HOLD,769.62,768.55,13.92,0,,PAPER
2026-08-27 20:00:02,HOLD,769.67,768.55,14.64,0,,PAPER
2026-08-27 20:00:16,HOLD,769.55,768.56,12.98,0,,PAPER
2026-08-27 20:00:30,HOLD,769.44,768.56,11.48,0,,PAPER
2026-08-27 20:02:19,HOLD,769.31,768.56,9.71,0,,PAPER
2026-08-27 20:03:23,HOLD,769.16,768.57,7.74,0,,PAPER
2026-08-27 20:04:26,HOLD,769.48,768.56,11.96,0,,PAPER
2026-08-27 20:05:30,HOLD,769.56,768.58,12.81,0,,PAPER
2026-08-27 20:06:34,HOLD,769.73,768.58,14.97,0,,PAPER
2026-08-27 20:07:38,HOLD,769.92,768.58,17.37,0,,PAPER
2026-08-27 20:08:41,HOLD,769.66,768.6,13.85,0,,PAPER
2026-08-27 20:09:45,HOLD,769.48,768.6,11.4,0,,PAPER
2026-08-27 20:10:49,HOLD,769.45,768.61,10.91,0,,PAPER
2026-08-27 20:11:53,HOLD,769.41,768.61,10.36,0,,PAPER
2026-08-27 20:12:57,HOLD,769.55,768.61,12.21,0,,PAPER
2026-08-27 20:14:01,HOLD,769.53,768.61,11.97,0,,PAPER
2026-08-27 20:17:41,HOLD,769.42,768.64,10.14,0,,PAPER
2026-08-27 20:18:15,HOLD,769.43,768.64,10.25,0,,PAPER
2026-08-27 20:18:49,HOLD,769.77,768.64,14.68,0,,PAPER
2026-08-27 20:19:22,HOLD,770.04,768.65,18.1,0,,PAPER
2026-08-27 20:19:56,HOLD,770.28,768.65,21.22,0,,PAPER
2026-08-27 20:20:30,HOLD,770.16,768.66,19.47,0,,PAPER
2026-08-27 20:21:03,HOLD,770.15,768.68,19.17,0,,PAPER
2026-08-27 20:21:37,HOLD,770.12,768.68,18.78,0,,PAPER
2026-08-27 20:22:11,HOLD,770.1,768.68,18.48,0,,PAPER
2026-08-27 20:22:45,HOLD,770.32,768.68,21.34,0,,PAPER
2026-08-27 20:23:19,HOLD,770.28,768.7,20.67,0,,PAPER
2026-08-27 20:26:03,HOLD,769.79,768.71,14.07,0,,PAPER
2026-08-27 20:27:06,HOLD,769.82,768.72,14.32,0,,PAPER
2026-08-27 20:28:10,HOLD,769.93,768.72,15.75,0,,PAPER
2026-08-27 20:29:14,HOLD,770.3,768.73,20.44,0,,PAPER
2026-08-27 20:30:18,HOLD,770.28,768.74,20.0,0,,PAPER
2026-08-27 20:31:22,HOLD,770.48,768.75,22.53,0,,PAPER
2026-08-27 20:32:26,HOLD,770.57,768.77,23.36,0,,PAPER
2026-08-27 20:34:30,HOLD,770.54,769.24,16.92,0,,PAPER
